Book,Chapter,Verse,Text
Genesis,2,23,ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛϭⲓ ⲁⲇⲁⲙ ϫⲉ ⲧⲁⲓ ⲧⲉⲛⲟⲩ ⲟⲩⲕⲉⲉⲥ [ⲉⲃⲟⲗ ϩⲛ ⲛⲁⲕⲉⲉⲥ ⲧⲉ ⲁⲩⲱ ⲟⲩⲥⲁⲣⲝ ⲉⲃⲟⲗ ϩⲛ ⲧⲁⲥⲁⲣⲝ ⲧⲉ …]
Genesis,2,24,ⲉⲧⲃⲉ ⲡⲁⲓ ⲡⲣⲱⲙⲉ ⲛⲁⲕⲁ ⲡⲉϥⲉⲓⲱⲧ ⲛⲥⲱϥ ⲙⲛ ⲧⲉϥⲙⲁⲁⲩ ⲛϥⲧⲱϭⲉ ⲙⲙⲟϥ ⲉⲧⲉϥⲥϩⲓⲙⲉ ⲛⲥⲉϣⲱⲡⲉ ⲙⲡⲉⲥⲛⲁⲩ ⲉⲩⲥⲁⲣⲝ ⲛⲟⲩⲱⲧ
Genesis,2,25,
Genesis,3,1,
Genesis,3,2,... ⲟⲩⲱⲙ ⲛϩⲏⲧϥ
Genesis,3,3,ⲡⲕⲁⲣⲡⲟⲥ ⲙⲡϣⲏⲛ ⲉⲧϩⲛ ⲧⲙⲏⲧⲉ ⲙⲡⲡⲁⲣⲁⲇⲓⲥⲟⲥ ⲁϥϫⲟⲟⲥ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ ϫⲉ ⲛⲛⲉⲧⲛⲟⲩⲱⲙ ⲉⲃⲟⲗ ⲛϩⲏⲧϥ ⲟⲩⲇⲉ ⲛⲛⲉⲧⲛϫⲱϩ ⲉⲣⲟϥ ϫⲉⲕⲁⲥ ⲛⲛⲉⲧⲛⲙⲟⲩ
Genesis,3,4,ⲡⲉϫⲉ ⲡϩⲟϥ ⲛⲧⲉⲥϩⲓⲙⲉ ϫⲉ ϩⲛ ⲟⲩⲙⲟⲩ ⲛⲧⲉⲧⲛⲁⲙⲟⲩ ⲁⲛ
Genesis,3,5,ⲉⲣⲉⲡⲛⲟⲩⲧⲉ ⲅⲁⲣ ⲥⲟⲟⲩⲛ ϫⲉ ϩⲙ ⲡⲉϩⲟⲟⲩ ⲉⲧⲉⲧⲛⲁⲟⲩⲱⲙ ⲉⲃⲟⲗ ⲛϩⲏⲧϥ ⲥⲉⲛⲁⲟⲩⲱⲛ ⲛϭⲓ ⲛⲉⲧⲛⲃⲁⲗ ⲛⲧⲉⲧⲛϣⲱⲡⲉ ⲛⲑⲉ ⲛⲛⲓⲛⲟⲩⲧⲉ (…)
Genesis,3,6,ⲁⲧⲉⲥϩⲓⲙⲉ ⲛⲁⲩ ⲉⲡϣⲏⲛ ϫⲉ ⲛⲁⲛⲟⲩϥ ⲉⲟⲩⲟⲙϥ ⲁⲩⲱ ϫⲉ ϥⲣⲁⲛⲁⲩ ⲛⲛⲃⲁⲗ ⲉⲛⲁⲩ ⲉⲣⲟϥ ⲁⲩⲱ ϫⲉ ⲛⲉⲥⲱϥ ⲉⲙⲟϣⲧϥ ⲁⲥϫⲓ ⲉⲃⲟⲗ ϩⲙ ⲡⲉϥⲕⲁⲣⲡⲟⲥ ⲁⲥⲟⲩⲱⲙ ⲁⲥϯ ⲙⲡⲉⲥⲕⲉϩⲁⲓ ⲛⲙⲙⲁⲥ ⲁⲩⲟⲩⲱⲙ
Genesis,3,7,ⲁⲩⲟⲩⲱⲛ ⲛϭⲓ ⲛⲉⲩⲃⲁⲗ ⲙⲡⲥⲛⲁⲩ ⲁⲩⲉⲓⲙⲉ ϫⲉ ⲁⲩⲕⲏⲕ ⲁϩⲏⲩ ⲁⲩⲧⲱⲣⲡ ⲛϩⲛϭⲱⲃⲉ ⲛⲕⲛⲧⲉ ⲁⲩⲧⲁⲙⲓⲟ ⲙⲙⲟⲟⲩ ⲛⲁⲩ ⲛϩⲉⲛⲡⲉⲣⲓⲍⲱⲙⲁ
